,id
0,00001cee341fdb12
1,0000247867823ef7
2,00013b17ad220c46
3,00017563c3f7919a
4,00017695ad8997eb
5,0001ea8717f6de06
6,00024115d4cbde0f
7,000247e83dcc1211
8,00025358d4737918
9,00026d1092fe71cc
10,0002eadc3b301559
11,0002f87b16116a7f
12,0003806b11932181
13,0003e1cccfd5a40a
14,00059ace3e3e9a53
15,000634272d0d44eb
16,000663aff0fffc80
17,000689dd34e20979
18,000834769115370c
19,000844b52dee5f3f
20,00084da5d4ead7aa
21,00091c35fa9d0465
22,000968ce11f5ee34
23,0009734200a85047
24,00097b6214686db5
25,0009aef4bd9e1697
26,000a02d807ae0254
27,000a6c6d4e89b9bc
28,000bafe2080bba82
29,000bf0a9894b2807
30,000c50dceb1eed2b
31,000c9b92318552d1
32,000ce41d86f2b886
33,000cf60dbaed8c02
34,000d4f120d5a7303
35,000d60becb7d1a67
36,000fc381d4895598
37,000ff37cf57ab537
38,001068b809feee6b
39,0011c58fcfd6bf91
40,0011cefc680993ba
41,0011ef6aa33d42e6
42,0012706ac77a7b37
43,0012bb72f20ae971
44,0012bbcbd6958302
45,00137446b1aec28c
46,0013a435effa29bd
47,0013be435187e84f
48,0013fed3aeae76b7
49,001411adf8f1dd82
50,001421530a1aa622
51,001426f56de6a49b
52,00148cabab3f0abd
53,0015d9af6dbc03c0
54,00166b5f5bf2d758
55,0016909ad784fe8d
56,0016b94c8b20ffa6
57,0016ec04bb0f869a
58,00177176f33f587e
59,0017d4d47894af05
60,001804717513d860
61,0018af86a1bdfef3
62,0019400581a6fe32
63,00199e012d99a8b9
64,001a9a0fce445525
65,001acc29b248cb6d
66,001ade31463efdfe
67,001af79497a01e91
68,001bb624469de607
69,001c368c738a814f
70,001c86f5bceccb32
71,001cba5e79b6b91e
72,001ceacfd4ffa469
73,001ceebc43e65027
74,001d2f65ea6f4163
75,001d39c71fce6f78
76,001d739c97bc2ae4
77,001deac5571d5186
78,001e131e1a08845a
79,001eba8bbe728e54
80,001ed6d4be00614b
81,001eff4007dbb65b
82,001f1f993acff9a3
83,0020376025dd8092
84,002046a2e5669735
85,002093eb829e4e1b
86,00209bd924d80a3e
87,0020baa22b95d1b0
88,0020e1f3fafd4b17
89,0020f1b79913e7c0
90,0021e57e6b9cb3d9
91,0021f7c457937f18
92,002261b0415c4f9d
93,0023317d123b6fcb
94,00234e493cedb3e1
95,0023f3f84f353bce
96,002586bdf3280356
97,0025a91b6955f1a5
98,0025c49d87d9a18f
99,00260d8dfcc29827
100,0026c91011e3ae35
101,0027160ca62626bc
102,0027c21bc4637efd
103,00281611ff9c0123
104,0028b002aacc20cc
105,0028bca06339e02f
106,0028c5110f1f896b
107,00291ce25a490740
108,00293511a845d344
109,002a3ebaaa51f17a
110,002af5c4c7f08722
111,002b3c51eb2cb207
112,002b41238214233e
113,002b92bbe21a6af4
114,002c586b0af3792c
115,002cd3ed1c9c7555
116,002eef919d2f8410
117,002fb627b19c4c0b
118,002fec87c1465bd8
119,003044a2c35274b6
120,0030a3760c6e27f3
121,0030e3ba49006440
122,00314b8e8314b445
123,00316955ef4b0fee
124,0031c900f2018470
125,0031d0649f4a266b
126,0031db73bf0939c3
127,00325303c23588a4
128,003260a50813dba9
129,0032e594263182fc
130,00340e8231a91349
131,00372dfdd531fc6c
132,0037738477182b8e
133,00379bb7b2b2e644
134,00380df890f6b894
